Card Name,Rating - Draftmancer,Rating - AF,Set,Source,Notes,,LowInkValue,RegularInkValue,,PowerBand Options,retail Power Band
Duke of Weselton - Opportunistic Official,3,C+,1,Frank Karsten,,,4,3,,,
Prince Eric - Dashing and Brave,3,C+,1,Frank Karsten,,,4,3,,,
Donald Duck - Musketeer,3,C+,1,Frank Karsten,,,4,3,,,
Heihei - Boat Snack,3,C+,1,Frank Karsten,,,4,3,,,
You Have Forgotten Me,3,C+,1,Frank Karsten,,,4,3,,,
Elsa - Queen Regent,3,C+,1,Frank Karsten,,,4,3,,,
Genie - The Ever Impressive,3,C+,1,Frank Karsten,,,4,3,,,
Donald Duck - Boisterous Fowl,3,C+,1,Frank Karsten,,,4,3,,,
Minnie Mouse - Beloved Princess,3,C+,1,Frank Karsten,,,4,3,,,
Jasmine - Disguised,3,C+,1,Frank Karsten,,,4,3,,,
Mickey Mouse - True Friend,3,C+,1,Frank Karsten,,,4,3,,,
Kristoff - Official Ice Master,3,C+,1,Frank Karsten,,,4,3,,,
Jafar - Wicked Sorcerer,3,C+,1,Frank Karsten,,,4,3,,,
Be Our Guest,3,C+,1,Frank Karsten,,,4,3,,,
Cruella de Vil - Miserable as Usual,3,C+,1,Frank Karsten,,,4,3,,,
Simba - Rightful Heir,3,C+,1,Frank Karsten,,,3,3,,,
Jafar - Keeper of Secrets,3,C+,1,Frank Karsten,,,4,3,,,
Mickey Mouse - Musketeer,3,C+,1,Frank Karsten,,,4,3,,,
Cheshire Cat - Not All There,3,C+,1,Frank Karsten,,,4,3,,,
Zeus - God of Lightning,3,C+,1,Frank Karsten,,,3,3,,,
Aurora - Regal Princess,3,C,1,Frank Karsten,,,3,3,,,
Te Ka - The Burning One,3,C,1,Frank Karsten,,,2,3,,,
Mickey Mouse - Wayward Sorcerer,3,C,1,Frank Karsten,,,3,3,,,
Mother Knows Best,3,C,1,Frank Karsten,,,2,3,,,
Magic Mirror,3,C,1,Frank Karsten,,,2,3,,,
Cinderella - Gentle and Kind,3,C,1,Frank Karsten,,,3,3,,,
Maleficent - Sinister Visitor,3,C,1,Frank Karsten,,,3,3,,,
Gaston - Arrogant Hunter,3,C,1,Frank Karsten,,,3,3,,,
Captain Hook - Captain of the Jolly Roger,3,C,1,Frank Karsten,,,2,3,,,
Simba - Future King,3,C,1,Frank Karsten,,,3,3,,,
Yzma - Alchemist,3,C,1,Frank Karsten,,,3,3,,,
Simba - Returned King,3,C,1,Frank Karsten,,,3,3,,,
Megara - Pulling the Strings,3,C,1,Frank Karsten,,,3,3,,,
Maurice - World-Famous Inventor,3,C,1,Frank Karsten,,,3,3,,,
Maui - Demigod,3,C,1,Frank Karsten,,,3,3,,,
Ariel - Spectacular Singer,3,C,1,Frank Karsten,,,3,3,,,
Rapunzel - Letting Down Her Hair,3,C,1,Frank Karsten,,,2,3,,,
Scepter of Arendelle,3,C,1,Frank Karsten,,,3,3,,,
Develop Your Brain,3,C,1,Frank Karsten,,,3,3,,,
Horace - No-Good Scoundrel,3,C,1,Frank Karsten,,,3,3,,,
Peter Pan - Fearless Fighter,3,C,1,Frank Karsten,,,2,3,,,
Prince Phillip - Dragonslayer,3,C,1,Frank Karsten,,,2,3,,,
Pumbaa - Friendly Warthog,3,C,1,Frank Karsten,,,3,3,,,
Mr. Smee - Loyal First Mate,3,C,1,Frank Karsten,,,3,3,,,
Scar - Fiery Usurper,3,C,1,Frank Karsten,,,3,3,,,
Dr. Facilier - Remarkable Gentleman,3,C,1,Frank Karsten,,,3,3,,,
Starkey - Hook's Henchman,3,C,1,Frank Karsten,,,3,3,,,
Mickey Mouse - Artful Rogue,3,C,1,Frank Karsten,,,2,3,,,
Flotsam - Ursula's Spy,3,C,1,Frank Karsten,,,2,3,,,
Ariel - On Human Legs,3,C,1,Frank Karsten,,,3,3,,,
Lilo - Making a Wish,3,C,1,Frank Karsten,,,2,3,,,
Maleficent - Biding Her Time,3,C,1,Frank Karsten,,,2,3,,,
Captain Hook - Thinking a Happy Thought,2,C-,1,Frank Karsten,,,1,2,,,
Moana - Of Motunui,2,C-,1,Frank Karsten,,,3,2,,,
Genie - Powers Unleashed,2,C-,1,Frank Karsten,,,1,2,,,
Aladdin - Cornered Swordsman,2,C-,1,Frank Karsten,,,3,2,,,
Magic Broom - Bucket Brigade,2,C-,1,Frank Karsten,,,3,2,,,
Lilo - Galactic Hero,2,C-,1,Frank Karsten,,,3,2,,,
Tamatoa - So Shiny!,2,C-,1,Frank Karsten,,,3,2,,,
Captain Hook - Ruthless Pirate,2,C-,1,Frank Karsten,,,1,2,,,
Minnie Mouse - Always Classy,2,C-,1,Frank Karsten,,,3,2,,,
Olaf - Friendly Snowman,2,C-,1,Frank Karsten,,,3,2,,,
Ursula's Cauldron,2,C-,1,Frank Karsten,,,1,2,,,
Fan the Flames,2,C-,1,Frank Karsten,,,3,2,,,
Coconut Basket,2,C-,1,Frank Karsten,,,3,2,,,
Stolen Scimitar,2,C-,1,Frank Karsten,,,3,2,,,
Dr. Facilier - Charlatan,2,C-,1,Frank Karsten,,,3,2,,,
Belle - Inventive Engineer,2,C-,1,Frank Karsten,,,3,2,,,
Iago - Loud-Mouthed Parrot,2,C-,1,Frank Karsten,,,3,2,,,
Eye of the Fates,2,C-,1,Frank Karsten,,,3,2,,,
Vicious Betrayal,2,C-,1,Frank Karsten,,,3,2,,,
Anna - Heir to Arendelle,2,C-,1,Frank Karsten,,,3,2,,,
Donald Duck - Strutting His Stuff,2,C-,1,Frank Karsten,,,3,2,,,
Abu - Mischievous Monkey,2,C-,1,Frank Karsten,,,3,2,,,
Aladdin - Street Rat,2,C-,1,Frank Karsten,,,3,2,,,
Lefou - Bumbler,2,C-,1,Frank Karsten,,,3,2,,,
Control Your Temper!,2,C-,1,Frank Karsten,,,3,2,,,
Elsa - Ice Surfer,2,C-,1,Frank Karsten,,,3,2,,,
Moana - Chosen by the Ocean,2,C-,1,Frank Karsten,,,3,2,,,
Timon - Grub Rustler,2,C-,1,Frank Karsten,,,3,2,,,
Tamatoa - Drab Little Crab,2,C-,1,Frank Karsten,,,3,2,,,
Fishbone Quill,2,C-,1,Frank Karsten,,,3,2,,,
White Rabbit's Pocket Watch,2,C-,1,Frank Karsten,,,3,2,,,
A Whole New World,2,C-,1,Frank Karsten,,,1,2,,,
Aladdin - Prince Ali,1,D,1,Frank Karsten,,,1,1,,,
Shield of Virtue,1,D,1,Frank Karsten,,,1,1,,,
Part of Your World,1,D,1,Frank Karsten,,,1,1,,,
Poisoned Apple,1,D,1,Frank Karsten,,,1,1,,,
Hakuna Matata,1,D,1,Frank Karsten,,,1,1,,,
Dinglehopper,1,D,1,Frank Karsten,,,1,1,,,
Sebastian - Court Composer,1,D,1,Frank Karsten,,,1,1,,,
Lady Tremaine - Wicked Stepmother,1,D,1,Frank Karsten,,,1,1,,,
Scar - Shameless Firebrand,1,D,1,Frank Karsten,,,1,1,,,
Gantu - Galactic Federation Captain,1,D,1,Frank Karsten,,,1,1,,,
Magic Golden Flower,1,D,1,Frank Karsten,,,1,1,,,
Plasma Blaster,1,D,1,Frank Karsten,,,1,1,,,
He's Got a Sword!,1,D,1,Frank Karsten,,,1,1,,,
Stampede,1,D,1,Frank Karsten,,,1,1,,,
Sudden Chill,1,D,1,Frank Karsten,,,1,1,,,
The Beast is Mine!,1,D,1,Frank Karsten,,,1,1,,,
Ariel - Whoseit Collector,1,D,1,Frank Karsten,,,1,1,,,
Healing Glow,1,D,1,Frank Karsten,,,1,1,,,
Hades - King of Olympus,1,D,1,Frank Karsten,,,1,1,,,
Work Together,1,D,1,Frank Karsten,,,1,1,,,
Freeze,0,F,1,Frank Karsten,,,0,0,,,
Sword of Truth,0,F,1,Frank Karsten,,,0,0,,,
Just in Time,0,F,1,Frank Karsten,,,0,0,,,
Cut to the Chase,0,F,1,Frank Karsten,,,1,0,,,
Break,0,F,1,Frank Karsten,,,1,0,,,
Frying Pan,0,F,1,Frank Karsten,,,1,0,,,
Befuddle,0,F,1,Frank Karsten,,,1,0,,,
Ransack,0,F,1,Frank Karsten,,,1,0,,,
Reflection,0,F,1,Frank Karsten,,,1,0,,,
Tangle,0,F,1,Frank Karsten,,,1,0,,,
Steal from the Rich,0,F,1,Frank Karsten,,,0,0,,,
Ursula's Shell Necklace,0,F,1,Frank Karsten,,,0,0,,,
Do It Again!,0,F,1,Frank Karsten,,,0,0,,,
Musketeer Tabard,0,F,1,Frank Karsten,,,0,0,,,
Dr. Facilier's Cards,0,F,1,Frank Karsten,,,0,0,,,
If it's not Baroque,0,F,1,Frank Karsten,,,0,0,,,
Fairy Godmother - Mystic Armorer,5,A,2,Frank Karsten,,,5,5,,,
Cogsworth - Grandfather Clock,5,A,2,Frank Karsten,,,5,5,,,
Beast - Tragic Hero,5,A,2,Frank Karsten,,,5,5,,,
Beast - Relentless,5,A,2,Frank Karsten,,,5,5,,,
The Queen - Commanding Presence,5,A,2,Frank Karsten,,,5,5,,,
Kronk - Junior Chipmunk,5,A,2,Frank Karsten,,,5,5,,,
Yzma - Scary Beyond All Reason,5,A,2,Frank Karsten,,,5,5,,,
Snow White - Well Wisher,5,A,2,Frank Karsten,,,5,5,,,
Lady Tremaine - Imperious Queen,5,A,2,Frank Karsten,,,5,5,,,
Beast - Selfless Protector,5,A,2,Frank Karsten,,,5,5,,,
Queen of Hearts - Sensing Weakness,4,B+,2,Frank Karsten,,,5,4,,,
Gaston - Intellectual Powerhouse,4,B+,2,Frank Karsten,,,4,4,,,
Alice - Growing Girl,4,B+,2,Frank Karsten,,,5,4,,,
Sisu - Divine Water Dragon,4,B+,2,Frank Karsten,,,4,4,,,
Belle - Hidden Archer,4,B+,2,Frank Karsten,,,4,4,,,
Hercules - Divine Hero,4,B+,2,Frank Karsten,,,5,4,,,
Mufasa - Betrayed Leader,4,B+,2,Frank Karsten,,,5,4,,,
Merlin - Rabbit,4,B+,2,Frank Karsten,,,4,4,,,
Pacha - Village Leader,4,B+,2,Frank Karsten,,,5,4,,,
Little John - Loyal Friend,4,B+,2,Frank Karsten,,,5,4,,,
Jafar - Dreadnought,4,B+,2,Frank Karsten,,,5,4,,,
Strength of a Raging Fire,4,B+,2,Frank Karsten,,,5,4,,,
World's Greatest Criminal Mind,4,B+,2,Frank Karsten,,,5,4,,,
Let the Storm Rage On,4,B+,2,Frank Karsten,,,4,4,,,
Cinderella - Stouthearted,4,B+,2,Frank Karsten,,,5,4,,,
Merlin - Crab,4,B+,2,Frank Karsten,,,5,4,,,
Minnie Mouse - Stylish Surfer,4,B+,2,Frank Karsten,,,5,4,,,
Lucifer - Cunning Cat,4,B+,2,Frank Karsten,,,4,4,,,
Madam Mim - Fox,4,B+,2,Frank Karsten,,,5,4,,,
Shere Khan - Menacing Predator,4,B+,2,Frank Karsten,,,5,4,,,
Dr. Facilier - Fortune Teller,4,B+,2,Frank Karsten,,,5,4,,,
HeiHei - Persistent Presence,4,B+,2,Frank Karsten,,,5,4,,,
Peter Pan's Shadow - Not Sewn On,4,B+,2,Frank Karsten,,,4,4,,,
Ray - Easygoing Firefly,4,B+,2,Frank Karsten,,,5,4,,,
Scar - Vicious Cheater,4,B,2,Frank Karsten,,,4,4,,,
Namaari - Nemesis,4,B,2,Frank Karsten,,,4,4,,,
Rabbit - Reluctant Host,4,B,2,Frank Karsten,,,4,4,,,
Flynn Rider - His Own Biggest Fan,4,B,2,Frank Karsten,,,4,4,,,
Cobra Bubbles - Just a Social Worker,4,B,2,Frank Karsten,,,4,4,,,
Madam Mim - Purple Dragon,4,B,2,Frank Karsten,,,4,4,,,
Daisy Duck - Secret Agent,4,B,2,Frank Karsten,,,4,4,,,
Winnie The Pooh - Hunny Wizard,4,B,2,Frank Karsten,,,4,4,,,
Virana - Fang Chief,4,B,2,Frank Karsten,,,4,4,,,
Card Soldiers - Full Deck,4,B,2,Frank Karsten,,,4,4,,,
Happy - Good-Natured,4,B,2,Frank Karsten,,,4,4,,,
Fairy Godmother - Pure Heart,4,B,2,Frank Karsten,,,4,4,,,
Li Shang - Archery Instructor,4,B,2,Frank Karsten,,,4,4,,,
Fairy Godmother - Here to Help,4,B,2,Frank Karsten,,,4,4,,,
Yzma - Without Beauty Sleep,4,B,2,Frank Karsten,,,4,4,,,
Donald Duck - Not Again!,4,B,2,Frank Karsten,,,4,4,,,
Queen of Hearts - Capricious Monarch,4,B,2,Frank Karsten,,,4,4,,,
Donald Duck - Deep-Sea Diver,4,B,2,Frank Karsten,,,4,4,,,
Ratigan - Criminal Mastermind,4,B,2,Frank Karsten,,,4,4,,,
Sleepy - Nodding Off,4,B,2,Frank Karsten,,,4,4,,,
King Louie - Jungle VIP,4,B,2,Frank Karsten,,,4,4,,,
Madam Mim - Snake,4,B,2,Frank Karsten,,,4,4,,,
The Prince - Never Gives Up,4,B,2,Frank Karsten,,,4,4,,,
Hypnotize,4,B,2,Frank Karsten,,,4,4,,,
Mulan - Soldier in Training,4,B-,2,Frank Karsten,,,3,4,,,
Tuk Tuk - Wrecking Ball,4,B-,2,Frank Karsten,,,3,4,,,
Lumiere - Hotheaded Candelabra,4,B-,2,Frank Karsten,,,4,4,,,
Pawpsicle,4,B-,2,Frank Karsten,,,4,4,,,
Snow White - Lost in the Forest,4,B-,2,Frank Karsten,,,4,4,,,
Ring The Bell,4,B-,2,Frank Karsten,,,4,4,,,
Painting the Roses Red,4,B-,2,Frank Karsten,,,4,4,,,
Fidget - Ratigan's Henchman,4,B-,2,Frank Karsten,,,4,4,,,
Improvise,4,B-,2,Frank Karsten,,,4,4,,,
The Queen - Regal Monarch,4,B-,2,Frank Karsten,,,4,4,,,
Charge!,4,B-,2,Frank Karsten,,,4,4,,,
Chip the Teacup - Gentle Soul,4,B-,2,Frank Karsten,,,4,4,,,
Owl - Logical Lecturer,4,B-,2,Frank Karsten,,,4,4,,,
Cruella De Vil - Perfectly Wretched,4,B-,2,Frank Karsten,,,4,4,,,
Lawrence - Jealous Manservant,4,B-,2,Frank Karsten,,,4,4,,,
Grand Pabbie - Oldest and Wisest,4,B-,2,Frank Karsten,,,3,4,,,
Cheshire Cat - From the Shadows,4,B-,2,Frank Karsten,,,4,4,,,
Raya - Leader of Heart,4,B-,2,Frank Karsten,,,4,4,,,
Beast - Forbidding Recluse,3,C+,2,Frank Karsten,,,4,3,,,
Grumpy - Bad-Tempered,3,C+,2,Frank Karsten,,,4,3,,,
Felicia - Always Hungry,3,C+,2,Frank Karsten,,,4,3,,,
Elsa - Gloves Off,3,C+,2,Frank Karsten,,,4,3,,,
Cogsworth - Talking Clock,3,C+,2,Frank Karsten,,,4,3,,,
Donald Duck - Perfect Gentleman,3,C+,2,Frank Karsten,,,4,3,,,
Hercules - Hero in Training,3,C+,2,Frank Karsten,,,4,3,,,
Boun - Precocious Entrepreneur,3,C+,2,Frank Karsten,,,4,3,,,
Pinocchio - On the Run,3,C+,2,Frank Karsten,,,3,3,,,
Rapunzel - Sunshine,3,C+,2,Frank Karsten,,,4,3,,,
Basil - Great Mouse Detective,3,C+,2,Frank Karsten,,,4,3,,,
Cruella De Vil - Fashionable Cruiser,3,C+,2,Frank Karsten,,,4,3,,,
Christopher Robin - Adventurer,3,C+,2,Frank Karsten,,,4,3,,,
Jafar - Royal Vizier,3,C+,2,Frank Karsten,,,4,3,,,
