Card Name,Rating - Draftmancer,Rating - AF,Set,Source,Notes
Chien-po - Snow warrior,2,C-,11,Be Our Guest,
Tod - Knows all the tricks,3,C,11,Be Our Guest,
Wreck-it Ralph - Raging Wrecker,0,F,11,Be Our Guest,
Tamatoa - Seeker of Shine,1,D,11,Be Our Guest,
Li shang - valiant leader,1,D,11,Be Our Guest,
Darkwing Duck - cool under pressure,1,D,11,Be Our Guest,
Jumba Jookiba - prolific inventor,3,C,11,Be Our Guest,
Raging Storm,0,F,11,Be Our Guest,
Stegmutt - Clumsy Dinosaur,0,F,11,Be Our Guest,
Dr.Hamsterviel - Infamous Scientist,1,D,11,Be Our Guest,
Eeyore - In the way,4,B-,11,Be Our Guest,
Olaf - snowman of action,0,F,11,Be Our Guest,
Gramma Tala - Connected to nature,2,C-,11,Be Our Guest,
